"DR1TSELE","LBXBSE","age","sex_male_i","race","education","pir","smoke","drink","pred","se_model"
34.7,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",271.339129408055,5.75786251317528
46.5,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.740090662598,5.35183216751773
55.4,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.282797347621,5.13016531440817
63.1,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.879446112743,4.98849895039847
69.1,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.557799105436,4.90486286918894
75.3,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.217367437316,4.83941079968356
81.6,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",268.866101807373,4.79334332854736
87.6,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",268.530813888973,4.76738299657765
93.2,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",268.220996574878,4.75689930819504
99.6,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",267.875359103964,4.75732479424528
106.2,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",267.5341568613,4.76578998233321
114,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",267.158416192226,4.77762754892037
121.39,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",266.827200203531,4.78785656747323
130.3,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",266.449704712057,4.80323809470391
141.3,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",266.000978932514,4.83962277766188
153.58,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",265.501163097789,4.92073540624813
166.93,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",264.934885599693,5.06673874641852
190,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",263.898276751982,5.43821597249709
228.59,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",262.130477822517,6.29953462091901
34.7,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",272.381177456076,5.332650573804
46.5,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",271.647236243869,4.99304815002728
55.4,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",271.083988306037,4.80958329064828
63.1,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.585442149217,4.69375481779287
69.1,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.187038357703,4.62629292377585
75.3,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.764734610701,4.57425722502175
81.6,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.327827900598,4.53824032832326
87.6,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",268.909000823711,4.5183792567596
93.2,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",268.51974534362,4.51071855888005
99.6,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",268.08190794173,4.51163395034477
106.2,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",267.6444176676,4.51875058758101
114,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",267.153765475621,4.52854802934757
121.39,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",266.712440353752,4.53723987223026
130.3,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",266.200015160876,4.55065811939826
141.3,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",265.580450820959,4.58197210289647
153.58,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",264.882846822905,4.64992968714805
166.93,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",264.091159716989,4.76945207505896
190,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",262.637939312385,5.06603078044123
228.59,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",260.09836708047,5.73426874270418
34.7,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",272.305215683764,5.14676936987728
46.5,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",271.671649142137,4.85612343685958
55.4,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",271.180441307021,4.6983527469704
63.1,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.741148331248,4.59828020918516
69.1,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.386667977998,4.53975549080488
75.3,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.007504614823,4.4943511237216
81.6,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.612156093176,4.46235880417427
87.6,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.230902099119,4.44378765890128
93.2,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",268.875058629555,4.43532555523787
99.6,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",268.473578663362,4.43358350516086
106.2,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",268.071690569229,4.43709488828591
114,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",267.620819356219,4.44321414214722
121.39,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",267.214794673801,4.44964826472753
130.3,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",266.741513471118,4.4612505177096
141.3,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",266.164562980824,4.48940314771866
153.58,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",265.506215057428,4.54920962217003
166.93,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",264.746158309166,4.65212603354582
190,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",263.319717522661,4.9035435965213
228.59,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",260.747871233973,5.46526783460216
34.7,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",271.724764232054,4.99482680252234
46.5,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",271.31741994808,4.75294780126265
55.4,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.992777526587,4.62106548016437
63.1,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.694188047504,4.53709552302258
69.1,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.446857562966,4.48783834980621
75.3,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.175917449947,4.44943518596419
81.6,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.88793918828,4.42189685476914
87.6,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.606571319381,4.40509722944062
93.2,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.341922161993,4.39633728632504
99.6,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.04232581093,4.39251993266571
106.2,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",268.742967486205,4.39292073622753
114,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",268.410029702192,4.39561267828193
121.39,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",268.112401443602,4.39958310379859
130.3,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",267.765223814908,4.40855490330574
141.3,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",267.336575476213,4.43187761271955
153.58,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",266.833440169849,4.48125575010427
166.93,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",266.228836253862,4.56522068141221
190,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",265.037901753991,4.76889909293971
228.59,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",262.768426367331,5.22672854077836
34.7,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.816479280281,4.87383402549069
46.5,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.709668112223,4.67162828996087
55.4,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.607654248756,4.56160839359156
63.1,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.498285014798,4.49178594674302
69.1,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.395918930605,4.45098872609763
75.3,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.272279962484,4.41926293423308
81.6,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.13134021508,4.39639032448088
87.6,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.987548776053,4.38208558481641
93.2,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.84914929684,4.37410455215065
99.6,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.691303080439,4.36973772763227
106.2,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.535306773863,4.36860849837828
114,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.368115116933,4.36922182179628
121.39,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.223743158088,4.37126518784639
130.3,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.056247656407,4.37746002534182
141.3,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",268.841385503972,4.39522258273236
153.58,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",268.565862504047,4.43367926009692
166.93,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",268.194781976994,4.49934475242309
190,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",267.372916282927,4.65915098758758
228.59,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",265.62550146252,5.02507127319929
34.7,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.730976507112,4.78876275859791
46.5,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.963414700692,4.61214279252616
55.4,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.11339079559,4.51711625477898
63.1,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.21877864357,4.45752677832493
69.1,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.281373995237,4.4231225664896
75.3,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.325792314501,4.39666901865383
81.6,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.353038054777,4.37779940030623
87.6,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.366964960811,4.36608853402231
93.2,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.373572892632,4.35955807796121
99.6,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.378814052613,4.35590001382384
106.2,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.388012741287,4.35473650036689
114,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.412071156358,4.35472480174849
121.39,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.444830207527,4.35567480974477
130.3,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.485500444187,4.35959819238842
141.3,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.519257755239,4.37239272114867
153.58,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.50999054466,4.40162960529464
166.93,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.414395843412,4.45277464561255
190,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.034230858579,4.57905038572117
228.59,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",268.930701335755,4.87604825162874
34.7,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",268.480931591169,4.74301100654666
46.5,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.111486702735,4.57582356245996
55.4,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.557778748884,4.48766029919496
63.1,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.916210998997,4.43344448955971
69.1,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.173556620905,4.40271084375312
75.3,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.416753530789,4.37951779152641
81.6,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.643239248909,4.36344362313724
87.6,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.844190396265,4.35397444177653
93.2,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",271.022820164329,4.34920945141008
99.6,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",271.221503835839,4.34719786788479
106.2,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",271.42648440246,4.3472799829729
114,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",271.67682839129,4.34801630892101
121.39,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",271.918820367565,4.34881363880392
130.3,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",272.205109307709,4.35132694406365
141.3,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",272.532113578191,4.36048865049765
153.58,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",272.837246393031,4.38336616465052
166.93,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",273.068016604849,4.42535370238689
190,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",273.214456405598,4.53184674758054
