"DR1TSELE","LBXBSE","age","sex_male_i","race","education","pir","smoke","drink","pred","se_model"
35.19,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00308837971993295,0.00478989441435482
46.06,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00326796951401613,0.00469203547374278
54.39,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00339887213215606,0.00462578980945257
62.2,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0035152476907899,0.00457038793709587
68,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00359715475260214,0.00453349378600504
74.5,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00368416828131045,0.00449672221558784
80.9,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00376602116151597,0.00446571176683029
87.3,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00384555553076851,0.00444015725953657
93,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00391562823012708,0.00442196117453164
99,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00398979715721764,0.00440714338078935
106.5,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00408490152451038,0.00439406726344019
114.62,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00419226928465913,0.00438583075527366
121.7,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00428919128964876,0.00438372806824515
130.64,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0044150898725433,0.00438851082694726
141.7,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00457473687003796,0.00440730424812986
153.18,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00474292126676577,0.00444314850736137
165.6,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00492596375135678,0.00450069478605606
187,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00524354747615491,0.0046424545567851
223.28,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00578815449692324,0.00498960444598146
35.19,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00268638743146278,0.00465598426431034
46.06,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00288973950428655,0.00457671288919215
54.39,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00303929455603191,0.00452298384584787
62.2,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00317357671936273,0.00447795923361503
68,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00326907942734203,0.00444790697202334
74.5,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00337164654746962,0.00441788171358163
80.9,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0034690806412118,0.00439248478813062
87.3,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00356437973978408,0.00437147134617533
