"DR1TSELE","LBXBSE","age","sex_male_i","race","education","pir","smoke","drink","pred","se_model"
34.7,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.30969206224,0.462306773578696
46.5,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.26599843740344,0.436758000808171
55.4,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.23091132652393,0.422578733251259
63.1,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.19876801889506,0.413051695907841
69.1,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.17241443616212,0.407011157238375
75.3,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.14381039752243,0.401877452155069
81.6,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.11291431202426,0.397890828323038
87.6,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.08132472101648,0.395324640586782
93.2,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.04955308160185,0.393973334988742
99.6,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.01008273882355,0.393447670432567
106.2,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.96532364063646,0.393614793710127
114,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.90650864264512,0.394016909098451
121.39,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.8454200159178,0.394340447061397
130.3,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.76638730626505,0.394983635470881
141.3,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.66338404803886,0.397187753579803
153.58,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.545428764431,0.402978408772954
166.93,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.41891865317815,0.414129914870364
190,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.20956480408613,0.443651307500454
228.59,148.976,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.88512964098064,0.512615013671931
34.7,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.02811741017706,0.432831037326256
46.5,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.00085824723098,0.413002049703538
55.4,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.97878262774309,0.402123616028322
63.1,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.95841289582459,0.39486412432636
69.1,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.94161122127607,0.390274310323913
75.3,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.92327172914662,0.38637129490509
81.6,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.90331712536707,0.383325235390234
87.6,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.88273868313552,0.381338145504147
93.2,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.86185898732562,0.380255623022779
99.6,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.83567638849382,0.379769472549182
106.2,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.80568879621669,0.379787858718758
114,156.43,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.76588011044188,0.379954335608157
