"metric","value"
"AUROC_HFS_apparent",0.730501921873603
"AUROC_HFS_optimism_corrected",0.729583599237171
"AUROC_FIB4_apparent",0.673610490350903
"Delta_AUROC_HFS_minus_FIB4",0.0568914315226999
"Bootstrap_mean_Delta",0.0578335109540239
"Bootstrap_lci_Delta",0.0341722484346063
"Bootstrap_uci_Delta",0.081385515109681
"H5_AUROC_>=0.65",1
"H5b_Delta_>=0.02",1
"HosmerLemeshow_chisq",265476.292057185
"HosmerLemeshow_p",0
"HarrellC_HFS",0.730501921873603
"ContinuousNRI_HFS_vs_FIB4",0.0230823475661235
"IDI_HFS_vs_FIB4",-0.0508794158307085
"CategoricalNRI_HFS_vs_FIB4_exploratory",-0.0956939105906658
"HFS_GE_047_cell_n_in_ROC_set",5
"AUROC_NFS_apparent",0.759766420349016
"AUROC_APRI_apparent",0.658108245681992
"DeltaAUROC_HFS_minus_NFS",-0.0292644984754129
"DeltaAUROC_HFS_minus_APRI",0.0723936761916113
"DeLong_p_HFS_vs_NFS",0.0248805115889076
"DeLong_p_HFS_vs_APRI",6.00096616933957e-06
