"outcome","direction","beta","se","z","p","weights","p_BH"
"cap","positive",11.6257931204664,1.32103662732742,8.80050778303289,2.1410397956709e-18,"mn_ugl=0.510; se_ugl=0.489; hg_ugl=0.001; cd_ugl=0.000; pb_ugdl=0.000",1.28462387740254e-17
"cap","negative",-13.9751762929529,1.35236955852111,-10.3338441810503,1.15804699107512e-24,"cd_ugl=0.673; pb_ugdl=0.241; hg_ugl=0.086; se_ugl=0.000; mn_ugl=0.000",1.38965638929014e-23
"lsm","positive",0.0949043307643973,0.0959692490364225,0.988903546889055,0.322781775232791,"mn_ugl=0.984; se_ugl=0.015; cd_ugl=0.001; pb_ugdl=0.000; hg_ugl=0.000",0.322781775232791
"lsm","negative",-0.785021033545544,0.165508163028688,-4.74309556205682,2.19265055646297e-06,"hg_ugl=0.356; pb_ugdl=0.313; cd_ugl=0.178; se_ugl=0.152; mn_ugl=0.001",3.75882952536509e-06
"ln_ggt","positive",0.082171049087141,0.0164863251148898,4.98419438622665,6.53766770592303e-07,"se_ugl=0.401; hg_ugl=0.380; pb_ugdl=0.197; mn_ugl=0.018; cd_ugl=0.005",1.96130031177691e-06
"ln_ggt","negative",0.0328792856726532,0.0138848654587601,2.3679945455942,0.0179412896229555,"cd_ugl=0.763; mn_ugl=0.235; pb_ugdl=0.001; hg_ugl=0.000; se_ugl=0.000",0.0195723159523151
"steatosis_cap275","positive",0.280541905366581,0.052483020451868,5.34538414426558,9.02254941238025e-08,"se_ugl=0.434; mn_ugl=0.365; hg_ugl=0.097; pb_ugdl=0.057; cd_ugl=0.047",3.6090197649521e-07
"steatosis_cap275","negative",-0.211892725807427,0.0648013964256919,-3.26987900716623,0.00107593494329838,"cd_ugl=0.251; pb_ugdl=0.229; hg_ugl=0.183; se_ugl=0.169; mn_ugl=0.169",0.00143457992439784
"fibrosis_lsm8","positive",-0.326486352999273,0.101784345044489,-3.20762837208973,0.00133834315996475,"pb_ugdl=0.200; cd_ugl=0.200; hg_ugl=0.200; mn_ugl=0.200; se_ugl=0.200",0.0016060117919577
"fibrosis_lsm8","negative",-0.336164585360041,0.101508373753938,-3.3116931434142,0.000927332020193603,"hg_ugl=0.230; cd_ugl=0.204; pb_ugdl=0.195; se_ugl=0.190; mn_ugl=0.181",0.0013909980302904
"ggt_high","positive",0.387943540773699,0.0809240412887803,4.79392198653684,1.63551896902848e-06,"hg_ugl=0.201; se_ugl=0.201; pb_ugdl=0.200; mn_ugl=0.199; cd_ugl=0.199",3.33314740273665e-06
"ggt_high","negative",0.387661799230596,0.0809289617854368,4.79014917129897,1.66657370136833e-06,"hg_ugl=0.200; se_ugl=0.200; mn_ugl=0.200; cd_ugl=0.200; pb_ugdl=0.200",3.33314740273665e-06
